------------------- A = 6 ------------------------------------ 
0 {'a': 6, 'pc': 3, 'c': 0, 'b': 5, 'd': 6}
0 {'a': 2360, 'pc': 21, 'c': 74, 'b': 1, 'd': 82}
0 {'a': 2442, 'pc': 21, 'c': 73, 'b': 1, 'd': 82}
0 {'a': 2524, 'pc': 21, 'c': 72, 'b': 1, 'd': 82}
0 {'a': 2606, 'pc': 21, 'c': 71, 'b': 1, 'd': 82}
0 {'a': 2688, 'pc': 21, 'c': 70, 'b': 1, 'd': 82}
0 {'a': 2770, 'pc': 21, 'c': 69, 'b': 1, 'd': 82}
0 {'a': 2852, 'pc': 21, 'c': 68, 'b': 1, 'd': 82}
0 {'a': 2934, 'pc': 21, 'c': 67, 'b': 1, 'd': 82}
0 {'a': 3016, 'pc': 21, 'c': 66, 'b': 1, 'd': 82}
0 {'a': 3098, 'pc': 21, 'c': 65, 'b': 1, 'd': 82}
0 {'a': 3180, 'pc': 21, 'c': 64, 'b': 1, 'd': 82}
0 {'a': 3262, 'pc': 21, 'c': 63, 'b': 1, 'd': 82}
0 {'a': 3344, 'pc': 21, 'c': 62, 'b': 1, 'd': 82}
0 {'a': 3426, 'pc': 21, 'c': 61, 'b': 1, 'd': 82}
0 {'a': 3508, 'pc': 21, 'c': 60, 'b': 1, 'd': 82}
0 {'a': 3590, 'pc': 21, 'c': 59, 'b': 1, 'd': 82}
0 {'a': 3672, 'pc': 21, 'c': 58, 'b': 1, 'd': 82}
0 {'a': 3754, 'pc': 21, 'c': 57, 'b': 1, 'd': 82}
0 {'a': 3836, 'pc': 21, 'c': 56, 'b': 1, 'd': 82}
0 {'a': 3918, 'pc': 21, 'c': 55, 'b': 1, 'd': 82}
0 {'a': 4000, 'pc': 21, 'c': 54, 'b': 1, 'd': 82}
0 {'a': 4082, 'pc': 21, 'c': 53, 'b': 1, 'd': 82}
0 {'a': 4164, 'pc': 21, 'c': 52, 'b': 1, 'd': 82}
0 {'a': 4246, 'pc': 21, 'c': 51, 'b': 1, 'd': 82}
0 {'a': 4328, 'pc': 21, 'c': 50, 'b': 1, 'd': 82}
0 {'a': 4410, 'pc': 21, 'c': 49, 'b': 1, 'd': 82}
0 {'a': 4492, 'pc': 21, 'c': 48, 'b': 1, 'd': 82}
0 {'a': 4574, 'pc': 21, 'c': 47, 'b': 1, 'd': 82}
0 {'a': 4656, 'pc': 21, 'c': 46, 'b': 1, 'd': 82}
0 {'a': 4738, 'pc': 21, 'c': 45, 'b': 1, 'd': 82}
0 {'a': 4820, 'pc': 21, 'c': 44, 'b': 1, 'd': 82}
0 {'a': 4902, 'pc': 21, 'c': 43, 'b': 1, 'd': 82}
0 {'a': 4984, 'pc': 21, 'c': 42, 'b': 1, 'd': 82}
0 {'a': 5066, 'pc': 21, 'c': 41, 'b': 1, 'd': 82}
0 {'a': 5148, 'pc': 21, 'c': 40, 'b': 1, 'd': 82}
0 {'a': 5230, 'pc': 21, 'c': 39, 'b': 1, 'd': 82}
0 {'a': 5312, 'pc': 21, 'c': 38, 'b': 1, 'd': 82}
0 {'a': 5394, 'pc': 21, 'c': 37, 'b': 1, 'd': 82}
0 {'a': 5476, 'pc': 21, 'c': 36, 'b': 1, 'd': 82}
0 {'a': 5558, 'pc': 21, 'c': 35, 'b': 1, 'd': 82}
0 {'a': 5640, 'pc': 21, 'c': 34, 'b': 1, 'd': 82}
0 {'a': 5722, 'pc': 21, 'c': 33, 'b': 1, 'd': 82}
0 {'a': 5804, 'pc': 21, 'c': 32, 'b': 1, 'd': 82}
0 {'a': 5886, 'pc': 21, 'c': 31, 'b': 1, 'd': 82}
0 {'a': 5968, 'pc': 21, 'c': 30, 'b': 1, 'd': 82}
0 {'a': 6050, 'pc': 21, 'c': 29, 'b': 1, 'd': 82}
0 {'a': 6132, 'pc': 21, 'c': 28, 'b': 1, 'd': 82}
0 {'a': 6214, 'pc': 21, 'c': 27, 'b': 1, 'd': 82}
0 {'a': 6296, 'pc': 21, 'c': 26, 'b': 1, 'd': 82}
0 {'a': 6378, 'pc': 21, 'c': 25, 'b': 1, 'd': 82}
0 {'a': 6460, 'pc': 21, 'c': 24, 'b': 1, 'd': 82}
0 {'a': 6542, 'pc': 21, 'c': 23, 'b': 1, 'd': 82}
0 {'a': 6624, 'pc': 21, 'c': 22, 'b': 1, 'd': 82}
0 {'a': 6706, 'pc': 21, 'c': 21, 'b': 1, 'd': 82}
0 {'a': 6788, 'pc': 21, 'c': 20, 'b': 1, 'd': 82}
0 {'a': 6870, 'pc': 21, 'c': 19, 'b': 1, 'd': 82}
0 {'a': 6952, 'pc': 21, 'c': 18, 'b': 1, 'd': 82}
0 {'a': 7034, 'pc': 21, 'c': 17, 'b': 1, 'd': 82}
0 {'a': 7116, 'pc': 21, 'c': 16, 'b': 1, 'd': 82}
0 {'a': 7198, 'pc': 21, 'c': 15, 'b': 1, 'd': 82}
0 {'a': 7280, 'pc': 21, 'c': 14, 'b': 1, 'd': 82}
0 {'a': 7362, 'pc': 21, 'c': 13, 'b': 1, 'd': 82}
0 {'a': 7444, 'pc': 21, 'c': 12, 'b': 1, 'd': 82}
0 {'a': 7526, 'pc': 21, 'c': 11, 'b': 1, 'd': 82}
0 {'a': 7608, 'pc': 21, 'c': 10, 'b': 1, 'd': 82}
0 {'a': 7690, 'pc': 21, 'c': 9, 'b': 1, 'd': 82}
0 {'a': 7772, 'pc': 21, 'c': 8, 'b': 1, 'd': 82}
0 {'a': 7854, 'pc': 21, 'c': 7, 'b': 1, 'd': 82}
0 {'a': 7936, 'pc': 21, 'c': 6, 'b': 1, 'd': 82}
0 {'a': 8018, 'pc': 21, 'c': 5, 'b': 1, 'd': 82}
0 {'a': 8100, 'pc': 21, 'c': 4, 'b': 1, 'd': 82}
0 {'a': 8182, 'pc': 21, 'c': 3, 'b': 1, 'd': 82}
0 {'a': 8264, 'pc': 21, 'c': 2, 'b': 1, 'd': 82}
0 {'a': 8346, 'pc': 21, 'c': 1, 'b': 1, 'd': 82}
{'a': 8428, 'pc': 26, 'c': 0, 'b': 1, 'd': 0}               <--- a = 8428 = 720 + 7708 = 720 + (94 x 82)

------------------- A = 7 ------------------------------------ 
0 {'a': 7, 'pc': 3, 'c': 0, 'b': 6, 'd': 7}
0 {'a': 42, 'pc': 13, 'c': 5, 'b': 5, 'd': 5}
0 {'a': 42, 'pc': 3, 'c': -16, 'b': 5, 'd': 42}
0 {'a': 210, 'pc': 13, 'c': 4, 'b': 4, 'd': 4}
0 {'a': 210, 'pc': 3, 'c': -16, 'b': 4, 'd': 210}
0 {'a': 840, 'pc': 13, 'c': 3, 'b': 3, 'd': 3}
0 {'a': 840, 'pc': 3, 'c': -16, 'b': 3, 'd': 840}
0 {'a': 2520, 'pc': 13, 'c': 2, 'b': 2, 'd': 2}
0 {'a': 2520, 'pc': 3, 'c': -16, 'b': 2, 'd': 2520}
0 {'a': 5040, 'pc': 13, 'c': 1, 'b': 1, 'd': 1}              <--- At this point a=7! c=94, d=82
0 {'a': 5040, 'pc': 21, 'c': 94, 'b': 1, 'd': 82}
0 {'a': 5122, 'pc': 21, 'c': 93, 'b': 1, 'd': 82}
0 {'a': 5204, 'pc': 21, 'c': 92, 'b': 1, 'd': 82}
0 {'a': 5286, 'pc': 21, 'c': 91, 'b': 1, 'd': 82}
0 {'a': 5368, 'pc': 21, 'c': 90, 'b': 1, 'd': 82}
0 {'a': 5450, 'pc': 21, 'c': 89, 'b': 1, 'd': 82}
0 {'a': 5532, 'pc': 21, 'c': 88, 'b': 1, 'd': 82}
0 {'a': 5614, 'pc': 21, 'c': 87, 'b': 1, 'd': 82}
0 {'a': 5696, 'pc': 21, 'c': 86, 'b': 1, 'd': 82}
0 {'a': 5778, 'pc': 21, 'c': 85, 'b': 1, 'd': 82}
0 {'a': 5860, 'pc': 21, 'c': 84, 'b': 1, 'd': 82}
0 {'a': 5942, 'pc': 21, 'c': 83, 'b': 1, 'd': 82}
0 {'a': 6024, 'pc': 21, 'c': 82, 'b': 1, 'd': 82}
0 {'a': 6106, 'pc': 21, 'c': 81, 'b': 1, 'd': 82}
0 {'a': 6188, 'pc': 21, 'c': 80, 'b': 1, 'd': 82}
0 {'a': 6270, 'pc': 21, 'c': 79, 'b': 1, 'd': 82}
0 {'a': 6352, 'pc': 21, 'c': 78, 'b': 1, 'd': 82}
0 {'a': 6434, 'pc': 21, 'c': 77, 'b': 1, 'd': 82}
0 {'a': 6516, 'pc': 21, 'c': 76, 'b': 1, 'd': 82}
0 {'a': 6598, 'pc': 21, 'c': 75, 'b': 1, 'd': 82}
0 {'a': 6680, 'pc': 21, 'c': 74, 'b': 1, 'd': 82}
0 {'a': 6762, 'pc': 21, 'c': 73, 'b': 1, 'd': 82}
0 {'a': 6844, 'pc': 21, 'c': 72, 'b': 1, 'd': 82}
0 {'a': 6926, 'pc': 21, 'c': 71, 'b': 1, 'd': 82}
0 {'a': 7008, 'pc': 21, 'c': 70, 'b': 1, 'd': 82}
0 {'a': 7090, 'pc': 21, 'c': 69, 'b': 1, 'd': 82}
0 {'a': 7172, 'pc': 21, 'c': 68, 'b': 1, 'd': 82}
0 {'a': 7254, 'pc': 21, 'c': 67, 'b': 1, 'd': 82}
0 {'a': 7336, 'pc': 21, 'c': 66, 'b': 1, 'd': 82}
0 {'a': 7418, 'pc': 21, 'c': 65, 'b': 1, 'd': 82}
0 {'a': 7500, 'pc': 21, 'c': 64, 'b': 1, 'd': 82}
0 {'a': 7582, 'pc': 21, 'c': 63, 'b': 1, 'd': 82}
0 {'a': 7664, 'pc': 21, 'c': 62, 'b': 1, 'd': 82}
0 {'a': 7746, 'pc': 21, 'c': 61, 'b': 1, 'd': 82}
0 {'a': 7828, 'pc': 21, 'c': 60, 'b': 1, 'd': 82}
0 {'a': 7910, 'pc': 21, 'c': 59, 'b': 1, 'd': 82}
0 {'a': 7992, 'pc': 21, 'c': 58, 'b': 1, 'd': 82}
0 {'a': 8074, 'pc': 21, 'c': 57, 'b': 1, 'd': 82}
0 {'a': 8156, 'pc': 21, 'c': 56, 'b': 1, 'd': 82}
0 {'a': 8238, 'pc': 21, 'c': 55, 'b': 1, 'd': 82}
0 {'a': 8320, 'pc': 21, 'c': 54, 'b': 1, 'd': 82}
0 {'a': 8402, 'pc': 21, 'c': 53, 'b': 1, 'd': 82}
0 {'a': 8484, 'pc': 21, 'c': 52, 'b': 1, 'd': 82}
0 {'a': 8566, 'pc': 21, 'c': 51, 'b': 1, 'd': 82}
0 {'a': 8648, 'pc': 21, 'c': 50, 'b': 1, 'd': 82}
0 {'a': 8730, 'pc': 21, 'c': 49, 'b': 1, 'd': 82}
0 {'a': 8812, 'pc': 21, 'c': 48, 'b': 1, 'd': 82}
0 {'a': 8894, 'pc': 21, 'c': 47, 'b': 1, 'd': 82}
0 {'a': 8976, 'pc': 21, 'c': 46, 'b': 1, 'd': 82}
0 {'a': 9058, 'pc': 21, 'c': 45, 'b': 1, 'd': 82}
0 {'a': 9140, 'pc': 21, 'c': 44, 'b': 1, 'd': 82}
0 {'a': 9222, 'pc': 21, 'c': 43, 'b': 1, 'd': 82}
0 {'a': 9304, 'pc': 21, 'c': 42, 'b': 1, 'd': 82}
0 {'a': 9386, 'pc': 21, 'c': 41, 'b': 1, 'd': 82}
0 {'a': 9468, 'pc': 21, 'c': 40, 'b': 1, 'd': 82}
0 {'a': 9550, 'pc': 21, 'c': 39, 'b': 1, 'd': 82}
0 {'a': 9632, 'pc': 21, 'c': 38, 'b': 1, 'd': 82}
0 {'a': 9714, 'pc': 21, 'c': 37, 'b': 1, 'd': 82}
0 {'a': 9796, 'pc': 21, 'c': 36, 'b': 1, 'd': 82}
0 {'a': 9878, 'pc': 21, 'c': 35, 'b': 1, 'd': 82}
0 {'a': 9960, 'pc': 21, 'c': 34, 'b': 1, 'd': 82}
0 {'a': 10042, 'pc': 21, 'c': 33, 'b': 1, 'd': 82}
0 {'a': 10124, 'pc': 21, 'c': 32, 'b': 1, 'd': 82}
0 {'a': 10206, 'pc': 21, 'c': 31, 'b': 1, 'd': 82}
0 {'a': 10288, 'pc': 21, 'c': 30, 'b': 1, 'd': 82}
0 {'a': 10370, 'pc': 21, 'c': 29, 'b': 1, 'd': 82}
0 {'a': 10452, 'pc': 21, 'c': 28, 'b': 1, 'd': 82}
0 {'a': 10534, 'pc': 21, 'c': 27, 'b': 1, 'd': 82}
0 {'a': 10616, 'pc': 21, 'c': 26, 'b': 1, 'd': 82}
0 {'a': 10698, 'pc': 21, 'c': 25, 'b': 1, 'd': 82}
0 {'a': 10780, 'pc': 21, 'c': 24, 'b': 1, 'd': 82}
0 {'a': 10862, 'pc': 21, 'c': 23, 'b': 1, 'd': 82}
0 {'a': 10944, 'pc': 21, 'c': 22, 'b': 1, 'd': 82}
0 {'a': 11026, 'pc': 21, 'c': 21, 'b': 1, 'd': 82}
0 {'a': 11108, 'pc': 21, 'c': 20, 'b': 1, 'd': 82}
0 {'a': 11190, 'pc': 21, 'c': 19, 'b': 1, 'd': 82}
0 {'a': 11272, 'pc': 21, 'c': 18, 'b': 1, 'd': 82}
0 {'a': 11354, 'pc': 21, 'c': 17, 'b': 1, 'd': 82}
0 {'a': 11436, 'pc': 21, 'c': 16, 'b': 1, 'd': 82}
0 {'a': 11518, 'pc': 21, 'c': 15, 'b': 1, 'd': 82}
0 {'a': 11600, 'pc': 21, 'c': 14, 'b': 1, 'd': 82}
0 {'a': 11682, 'pc': 21, 'c': 13, 'b': 1, 'd': 82}
0 {'a': 11764, 'pc': 21, 'c': 12, 'b': 1, 'd': 82}
0 {'a': 11846, 'pc': 21, 'c': 11, 'b': 1, 'd': 82}
0 {'a': 11928, 'pc': 21, 'c': 10, 'b': 1, 'd': 82}
0 {'a': 12010, 'pc': 21, 'c': 9, 'b': 1, 'd': 82}
0 {'a': 12092, 'pc': 21, 'c': 8, 'b': 1, 'd': 82}
0 {'a': 12174, 'pc': 21, 'c': 7, 'b': 1, 'd': 82}
0 {'a': 12256, 'pc': 21, 'c': 6, 'b': 1, 'd': 82}
0 {'a': 12338, 'pc': 21, 'c': 5, 'b': 1, 'd': 82}
0 {'a': 12420, 'pc': 21, 'c': 4, 'b': 1, 'd': 82}
0 {'a': 12502, 'pc': 21, 'c': 3, 'b': 1, 'd': 82}
0 {'a': 12584, 'pc': 21, 'c': 2, 'b': 1, 'd': 82}
0 {'a': 12666, 'pc': 21, 'c': 1, 'b': 1, 'd': 82}
{'a': 12748, 'pc': 26, 'c': 0, 'b': 1, 'd': 0}                  <--- a = 12748 = 5040 + 7708 = 720 + (94 x 82)

------------------- A = 8 ------------------------------------ 
0 {'a': 8, 'pc': 3, 'c': 0, 'b': 7, 'd': 8}
0 {'a': 56, 'pc': 13, 'c': 6, 'b': 6, 'd': 6}
0 {'a': 56, 'pc': 3, 'c': -16, 'b': 6, 'd': 56}
0 {'a': 336, 'pc': 13, 'c': 5, 'b': 5, 'd': 5}
0 {'a': 336, 'pc': 3, 'c': -16, 'b': 5, 'd': 336}
0 {'a': 1680, 'pc': 13, 'c': 4, 'b': 4, 'd': 4}
0 {'a': 1680, 'pc': 3, 'c': -16, 'b': 4, 'd': 1680}
0 {'a': 6720, 'pc': 13, 'c': 3, 'b': 3, 'd': 3}
0 {'a': 6720, 'pc': 3, 'c': -16, 'b': 3, 'd': 6720}
0 {'a': 20160, 'pc': 13, 'c': 2, 'b': 2, 'd': 2}
0 {'a': 20160, 'pc': 3, 'c': -16, 'b': 2, 'd': 20160}
0 {'a': 40320, 'pc': 13, 'c': 1, 'b': 1, 'd': 1}
0 {'a': 40320, 'pc': 21, 'c': 94, 'b': 1, 'd': 82}               <--- At this point a=8! c=94, d=82
0 {'a': 40402, 'pc': 21, 'c': 93, 'b': 1, 'd': 82}
0 {'a': 40484, 'pc': 21, 'c': 92, 'b': 1, 'd': 82}
0 {'a': 40566, 'pc': 21, 'c': 91, 'b': 1, 'd': 82}
0 {'a': 40648, 'pc': 21, 'c': 90, 'b': 1, 'd': 82}
0 {'a': 40730, 'pc': 21, 'c': 89, 'b': 1, 'd': 82}
0 {'a': 40812, 'pc': 21, 'c': 88, 'b': 1, 'd': 82}
0 {'a': 40894, 'pc': 21, 'c': 87, 'b': 1, 'd': 82}
0 {'a': 40976, 'pc': 21, 'c': 86, 'b': 1, 'd': 82}
0 {'a': 41058, 'pc': 21, 'c': 85, 'b': 1, 'd': 82}
0 {'a': 41140, 'pc': 21, 'c': 84, 'b': 1, 'd': 82}
0 {'a': 41222, 'pc': 21, 'c': 83, 'b': 1, 'd': 82}
0 {'a': 41304, 'pc': 21, 'c': 82, 'b': 1, 'd': 82}
0 {'a': 41386, 'pc': 21, 'c': 81, 'b': 1, 'd': 82}
0 {'a': 41468, 'pc': 21, 'c': 80, 'b': 1, 'd': 82}
0 {'a': 41550, 'pc': 21, 'c': 79, 'b': 1, 'd': 82}
0 {'a': 41632, 'pc': 21, 'c': 78, 'b': 1, 'd': 82}
0 {'a': 41714, 'pc': 21, 'c': 77, 'b': 1, 'd': 82}
0 {'a': 41796, 'pc': 21, 'c': 76, 'b': 1, 'd': 82}
0 {'a': 41878, 'pc': 21, 'c': 75, 'b': 1, 'd': 82}
0 {'a': 41960, 'pc': 21, 'c': 74, 'b': 1, 'd': 82}
0 {'a': 42042, 'pc': 21, 'c': 73, 'b': 1, 'd': 82}
0 {'a': 42124, 'pc': 21, 'c': 72, 'b': 1, 'd': 82}
0 {'a': 42206, 'pc': 21, 'c': 71, 'b': 1, 'd': 82}
0 {'a': 42288, 'pc': 21, 'c': 70, 'b': 1, 'd': 82}
0 {'a': 42370, 'pc': 21, 'c': 69, 'b': 1, 'd': 82}
0 {'a': 42452, 'pc': 21, 'c': 68, 'b': 1, 'd': 82}
0 {'a': 42534, 'pc': 21, 'c': 67, 'b': 1, 'd': 82}
0 {'a': 42616, 'pc': 21, 'c': 66, 'b': 1, 'd': 82}
0 {'a': 42698, 'pc': 21, 'c': 65, 'b': 1, 'd': 82}
0 {'a': 42780, 'pc': 21, 'c': 64, 'b': 1, 'd': 82}
0 {'a': 42862, 'pc': 21, 'c': 63, 'b': 1, 'd': 82}
0 {'a': 42944, 'pc': 21, 'c': 62, 'b': 1, 'd': 82}
0 {'a': 43026, 'pc': 21, 'c': 61, 'b': 1, 'd': 82}
0 {'a': 43108, 'pc': 21, 'c': 60, 'b': 1, 'd': 82}
0 {'a': 43190, 'pc': 21, 'c': 59, 'b': 1, 'd': 82}
0 {'a': 43272, 'pc': 21, 'c': 58, 'b': 1, 'd': 82}
0 {'a': 43354, 'pc': 21, 'c': 57, 'b': 1, 'd': 82}
0 {'a': 43436, 'pc': 21, 'c': 56, 'b': 1, 'd': 82}
0 {'a': 43518, 'pc': 21, 'c': 55, 'b': 1, 'd': 82}
0 {'a': 43600, 'pc': 21, 'c': 54, 'b': 1, 'd': 82}
0 {'a': 43682, 'pc': 21, 'c': 53, 'b': 1, 'd': 82}
0 {'a': 43764, 'pc': 21, 'c': 52, 'b': 1, 'd': 82}
0 {'a': 43846, 'pc': 21, 'c': 51, 'b': 1, 'd': 82}
0 {'a': 43928, 'pc': 21, 'c': 50, 'b': 1, 'd': 82}
0 {'a': 44010, 'pc': 21, 'c': 49, 'b': 1, 'd': 82}
0 {'a': 44092, 'pc': 21, 'c': 48, 'b': 1, 'd': 82}
0 {'a': 44174, 'pc': 21, 'c': 47, 'b': 1, 'd': 82}
0 {'a': 44256, 'pc': 21, 'c': 46, 'b': 1, 'd': 82}
0 {'a': 44338, 'pc': 21, 'c': 45, 'b': 1, 'd': 82}
0 {'a': 44420, 'pc': 21, 'c': 44, 'b': 1, 'd': 82}
0 {'a': 44502, 'pc': 21, 'c': 43, 'b': 1, 'd': 82}
0 {'a': 44584, 'pc': 21, 'c': 42, 'b': 1, 'd': 82}
0 {'a': 44666, 'pc': 21, 'c': 41, 'b': 1, 'd': 82}
0 {'a': 44748, 'pc': 21, 'c': 40, 'b': 1, 'd': 82}
0 {'a': 44830, 'pc': 21, 'c': 39, 'b': 1, 'd': 82}
0 {'a': 44912, 'pc': 21, 'c': 38, 'b': 1, 'd': 82}
0 {'a': 44994, 'pc': 21, 'c': 37, 'b': 1, 'd': 82}
0 {'a': 45076, 'pc': 21, 'c': 36, 'b': 1, 'd': 82}
0 {'a': 45158, 'pc': 21, 'c': 35, 'b': 1, 'd': 82}
0 {'a': 45240, 'pc': 21, 'c': 34, 'b': 1, 'd': 82}
0 {'a': 45322, 'pc': 21, 'c': 33, 'b': 1, 'd': 82}
0 {'a': 45404, 'pc': 21, 'c': 32, 'b': 1, 'd': 82}
0 {'a': 45486, 'pc': 21, 'c': 31, 'b': 1, 'd': 82}
0 {'a': 45568, 'pc': 21, 'c': 30, 'b': 1, 'd': 82}
0 {'a': 45650, 'pc': 21, 'c': 29, 'b': 1, 'd': 82}
0 {'a': 45732, 'pc': 21, 'c': 28, 'b': 1, 'd': 82}
0 {'a': 45814, 'pc': 21, 'c': 27, 'b': 1, 'd': 82}
0 {'a': 45896, 'pc': 21, 'c': 26, 'b': 1, 'd': 82}
0 {'a': 45978, 'pc': 21, 'c': 25, 'b': 1, 'd': 82}
0 {'a': 46060, 'pc': 21, 'c': 24, 'b': 1, 'd': 82}
0 {'a': 46142, 'pc': 21, 'c': 23, 'b': 1, 'd': 82}
0 {'a': 46224, 'pc': 21, 'c': 22, 'b': 1, 'd': 82}
0 {'a': 46306, 'pc': 21, 'c': 21, 'b': 1, 'd': 82}
0 {'a': 46388, 'pc': 21, 'c': 20, 'b': 1, 'd': 82}
0 {'a': 46470, 'pc': 21, 'c': 19, 'b': 1, 'd': 82}
0 {'a': 46552, 'pc': 21, 'c': 18, 'b': 1, 'd': 82}
0 {'a': 46634, 'pc': 21, 'c': 17, 'b': 1, 'd': 82}
0 {'a': 46716, 'pc': 21, 'c': 16, 'b': 1, 'd': 82}
0 {'a': 46798, 'pc': 21, 'c': 15, 'b': 1, 'd': 82}
0 {'a': 46880, 'pc': 21, 'c': 14, 'b': 1, 'd': 82}
0 {'a': 46962, 'pc': 21, 'c': 13, 'b': 1, 'd': 82}
0 {'a': 47044, 'pc': 21, 'c': 12, 'b': 1, 'd': 82}
0 {'a': 47126, 'pc': 21, 'c': 11, 'b': 1, 'd': 82}
0 {'a': 47208, 'pc': 21, 'c': 10, 'b': 1, 'd': 82}
0 {'a': 47290, 'pc': 21, 'c': 9, 'b': 1, 'd': 82}
0 {'a': 47372, 'pc': 21, 'c': 8, 'b': 1, 'd': 82}
0 {'a': 47454, 'pc': 21, 'c': 7, 'b': 1, 'd': 82}
0 {'a': 47536, 'pc': 21, 'c': 6, 'b': 1, 'd': 82}
0 {'a': 47618, 'pc': 21, 'c': 5, 'b': 1, 'd': 82}
0 {'a': 47700, 'pc': 21, 'c': 4, 'b': 1, 'd': 82}
0 {'a': 47782, 'pc': 21, 'c': 3, 'b': 1, 'd': 82}
0 {'a': 47864, 'pc': 21, 'c': 2, 'b': 1, 'd': 82}
0 {'a': 47946, 'pc': 21, 'c': 1, 'b': 1, 'd': 82}
{'a': 48028, 'pc': 26, 'c': 0, 'b': 1, 'd': 0}                  <--- a = 48028 = 40320 + 7708 = 720 + (94 x 82)

